#{"t_start": 1680155888.1082482, "env_id": "CartPole-v1"}
r,l,t
21.0,21,0.09235
23.0,23,0.099479
14.0,14,0.103918
13.0,13,0.108053
38.0,38,0.120234
18.0,18,0.126178
23.0,23,0.133436
20.0,20,0.140039
20.0,20,0.146859
35.0,35,0.158704
51.0,51,0.175771
20.0,20,0.182468
11.0,11,0.186208
17.0,17,0.19107
10.0,10,0.194449
13.0,13,0.198853
11.0,11,0.202494
29.0,29,0.212066
20.0,20,0.219172
21.0,21,0.225927
20.0,20,0.231506
13.0,13,0.235508
11.0,11,0.238915
14.0,14,0.244033
15.0,15,0.249078
22.0,22,0.256401
12.0,12,0.260438
16.0,16,0.265711
12.0,12,0.269713
14.0,14,0.274256
10.0,10,0.278121
14.0,14,0.282844
50.0,50,0.299449
13.0,13,0.303603
27.0,27,0.312305
18.0,18,0.317887
23.0,23,0.325295
27.0,27,0.335655
22.0,22,0.343334
40.0,40,0.356032
16.0,16,0.361584
21.0,21,0.368384
17.0,17,0.373591
15.0,15,0.378842
41.0,41,0.392057
35.0,35,0.40348
19.0,19,0.409544
20.0,20,0.415387
11.0,11,0.419039
19.0,19,0.424914
59.0,59,0.4432
16.0,16,0.448323
14.0,14,0.452603
25.0,25,0.460758
16.0,16,0.465809
23.0,23,0.473203
20.0,20,0.479666
45.0,45,0.494629
14.0,14,0.499044
50.0,50,0.515236
50.0,50,0.531583
18.0,18,0.537445
18.0,18,0.543158
17.0,17,0.54803
18.0,18,0.553832
15.0,15,0.558703
14.0,14,0.563196
13.0,13,0.567494
18.0,18,0.573523
15.0,15,0.578398
12.0,12,0.582396
12.0,12,0.586334
20.0,20,0.592694
19.0,19,0.600147
25.0,25,0.608706
15.0,15,0.61353
18.0,18,0.619602
18.0,18,0.625494
51.0,51,0.641723
34.0,34,0.652169
20.0,20,0.658303
25.0,25,0.666272
16.0,16,0.671461
35.0,35,0.682839
12.0,12,0.686592
18.0,18,0.692576
26.0,26,0.700114
12.0,12,0.703771
69.0,69,0.726133
11.0,11,0.729712
33.0,33,0.740116
26.0,26,0.748458
13.0,13,1.8234
21.0,21,1.83215
95.0,95,1.863361
12.0,12,1.8671
10.0,10,1.870199
25.0,25,1.877434
54.0,54,1.893116
90.0,90,1.914563
18.0,18,1.918753
44.0,44,1.928437
52.0,52,1.939802
21.0,21,1.944477
47.0,47,1.954719
25.0,25,1.960123
20.0,20,1.964557
14.0,14,1.96779
13.0,13,1.970645
32.0,32,1.977412
16.0,16,1.981152
12.0,12,1.983789
13.0,13,1.986615
18.0,18,1.990597
83.0,83,2.008429
16.0,16,2.012013
19.0,19,2.01608
18.0,18,2.020153
26.0,26,2.02603
21.0,21,2.030513
92.0,92,2.04997
34.0,34,2.057296
26.0,26,2.062916
13.0,13,2.065971
21.0,21,2.070675
53.0,53,2.081966
32.0,32,2.089033
21.0,21,2.093745
64.0,64,2.107405
90.0,90,2.127218
13.0,13,2.130228
21.0,21,2.135026
58.0,58,2.147484
68.0,68,2.162051
36.0,36,2.169919
57.0,57,2.182624
13.0,13,2.185502
22.0,22,2.190768
11.0,11,2.193511
29.0,29,2.199679
37.0,37,2.207561
64.0,64,2.221505
23.0,23,2.226632
37.0,37,2.234456
39.0,39,2.243066
12.0,12,2.245688
51.0,51,2.256497
42.0,42,2.265352
18.0,18,2.26927
25.0,25,2.275017
26.0,26,2.280674
24.0,24,2.285919
15.0,15,2.289325
62.0,62,3.014846
24.0,24,3.022143
54.0,54,3.03963
25.0,25,3.047004
116.0,116,3.077888
19.0,19,3.082213
28.0,28,3.08808
32.0,32,3.095878
29.0,29,3.102948
106.0,106,3.125914
31.0,31,3.132548
49.0,49,3.143281
56.0,56,3.155259
53.0,53,3.166411
18.0,18,3.170765
61.0,61,3.184001
19.0,19,3.188237
81.0,81,3.205643
61.0,61,3.218755
25.0,25,3.224363
22.0,22,3.229191
25.0,25,3.234671
57.0,57,3.246793
100.0,100,3.268346
63.0,63,3.281872
24.0,24,3.287071
58.0,58,3.299667
48.0,48,3.309924
17.0,17,3.313726
44.0,44,3.32317
61.0,61,3.336207
34.0,34,3.343574
27.0,27,3.349291
39.0,39,3.357665
57.0,57,3.369873
120.0,120,3.395761
45.0,45,3.40529
33.0,33,3.412508
62.0,62,3.425705
10.0,10,3.427915
75.0,75,3.443853
19.0,19,3.44787
30.0,30,3.45431
71.0,71,4.177438
41.0,41,4.190606
149.0,149,4.227452
76.0,76,4.24527
15.0,15,4.248812
149.0,149,4.282261
186.0,186,4.322025
17.0,17,4.326503
44.0,44,4.336065
136.0,136,4.365754
28.0,28,4.372087
110.0,110,4.396337
28.0,28,4.403276
129.0,129,4.433976
24.0,24,4.439268
45.0,45,4.449086
12.0,12,4.451891
127.0,127,4.479673
95.0,95,4.499838
12.0,12,4.5025
61.0,61,4.515527
17.0,17,4.519331
58.0,58,4.531719
23.0,23,4.53684
51.0,51,4.547637
103.0,103,4.569627
92.0,92,4.589229
66.0,66,4.605363
77.0,77,4.622124
181.0,181,5.307161
123.0,123,5.33946
207.0,207,5.385332
122.0,122,5.418815
112.0,112,5.443607
206.0,206,5.487361
144.0,144,5.525678
34.0,34,5.535621
144.0,144,5.576375
224.0,224,5.629034
75.0,75,5.645148
145.0,145,5.676114
270.0,270,5.737113
235.0,235,12.113454
