#{"t_start": 1681093798.9250238, "env_id": "CartPole-v1"}
r,l,t
19.0,19,0.028592
18.0,18,0.105287
17.0,17,0.113226
38.0,38,0.181742
20.0,20,0.248827
25.0,25,0.311314
20.0,20,0.319416
30.0,30,0.383272
26.0,26,0.46607
40.0,40,0.531159
70.0,70,0.736355
116.0,116,0.939674
125.0,125,1.214231
142.0,142,1.539594
158.0,158,1.821456
150.0,150,2.130823
154.0,154,2.43606
288.0,288,2.980653
128.0,128,3.231802
89.0,89,3.415178
133.0,133,3.671541
182.0,182,4.030171
210.0,210,4.397727
500.0,500,5.39137
335.0,335,6.043931
212.0,212,6.647412
176.0,176,6.967445
172.0,172,7.340955
154.0,154,7.638767
202.0,202,8.004319
500.0,500,8.950001
500.0,500,9.903023
500.0,500,10.885226
500.0,500,11.809839
500.0,500,13.427803
500.0,500,14.388764
500.0,500,15.324985
500.0,500,16.316457
500.0,500,17.286979
500.0,500,18.204837
500.0,500,19.564193
500.0,500,20.510964
500.0,500,21.484236
500.0,500,22.477708
500.0,500,23.531142
500.0,500,24.623306
500.0,500,25.822208
